Estatus,Duration,Chistory,Purpose,Ncredit,Saccount,EmploySince,Insrate,Pstatus,Odebtors,ResidenceSince,Property,Age,Insplans,House,NTBcredit,Job,NMpeople,Telephone,Fworker,credits
A12,21,A32,A42,3599,A61,A74,1,A92,A101,4,A123,38,A143,A153,1,A172,1,A191,A201,1
A11,30,A30,A42,4583,A61,A73,3,A92,A103,2,A121,32,A143,A152,2,A173,1,A191,A201,1
A12,30,A31,A42,3496,A64,A73,4,A93,A101,2,A123,34,A142,A152,1,A173,2,A192,A201,1
A14,60,A32,A40,10366,A61,A75,2,A93,A101,4,A122,42,A143,A152,1,A174,1,A192,A201,1
A12,48,A31,A40,12169,A65,A71,4,A93,A102,4,A124,46,A143,A151,1,A174,1,A192,A201,1
A12,48,A33,A410,7582,A62,A71,2,A93,A101,4,A124,31,A143,A151,1,A174,1,A192,A201,1
A11,30,A34,A41,10623,A61,A75,3,A93,A101,4,A124,46,A143,A151,3,A174,2,A192,A201,1
A12,42,A31,A41,9283,A61,A71,1,A93,A101,2,A124,55,A141,A153,1,A174,1,A192,A201,1
A12,39,A33,A46,11760,A62,A74,2,A93,A101,3,A124,32,A143,A151,1,A173,1,A192,A201,1
A14,24,A32,A41,7814,A61,A74,3,A93,A101,3,A123,38,A143,A152,1,A174,1,A192,A201,1
A12,48,A31,A40,12169,A65,A71,4,A93,A102,4,A124,46,A143,A151,1,A174,1,A192,A201,1
A12,60,A33,A43,9157,A65,A73,2,A93,A101,2,A124,27,A143,A151,1,A174,1,A191,A201,1
A12,48,A30,A49,12204,A65,A73,2,A93,A101,1,A123,48,A141,A152,1,A174,1,A192,A201,1
A12,12,A32,A40,1223,A61,A71,3,A92,A101,4,A124,46,A143,A151,1,A174,1,A191,A201,1
A14,24,A32,A41,7814,A61,A74,3,A93,A101,3,A123,38,A143,A152,1,A174,1,A192,A201,1
A14,24,A32,A41,9277,A65,A75,1,A91,A101,4,A124,46,A143,A151,1,A173,1,A192,A201,1
A12,60,A33,A43,9157,A65,A73,2,A93,A101,2,A124,27,A143,A151,1,A174,1,A191,A201,1
A12,24,A34,A41,7758,A64,A75,1,A91,A101,4,A124,29,A143,A151,1,A173,1,A191,A201,1
A12,21,A32,A40,1223,A61,A75,1,A91,A101,4,A122,47,A143,A152,2,A173,1,A191,A201,1
A12,12,A32,A43,2930,A61,A75,1,A91,A101,1,A121,27,A143,A152,1,A173,1,A191,A201,1
A12,12,A32,A40,3195,A65,A75,1,A91,A101,1,A121,33,A143,A152,1,A172,1,A191,A201,1
A12,24,A32,A42,3021,A61,A75,1,A91,A101,1,A121,24,A143,A151,1,A172,1,A191,A201,1
A11,15,A34,A42,1223,A61,A75,1,A91,A101,3,A122,25,A143,A152,2,A173,1,A191,A201,1
A11,42,A32,A42,7882,A61,A74,2,A93,A103,4,A122,46,A143,A151,1,A173,2,A191,A201,1
A12,21,A32,A42,3599,A61,A75,1,A91,A101,4,A123,26,A143,A151,1,A172,1,A191,A201,1
A12,30,A31,A42,3496,A64,A73,4,A93,A101,1,A123,34,A142,A152,1,A173,2,A192,A201,1
